2023-12-01 00:21:09.840 | INFO     | scheduler.direction_update:checking_update:158 - Критическое уменьшение цены билета 1 - LCA : 12258.0 < 22258.0 and 44.92766645700422 >= 20
2023-12-01 00:24:01.275 | INFO     | database.mysqldb:create_pool:30 - Pool was created successfully!
2023-12-01 00:24:01.304 | INFO     | scheduler.direction_update:update:31 - Старт проверки цен
2023-12-01 00:24:01.690 | INFO     | avia_bot.service:start_bot:48 - The bot is running!
2023-12-01 00:24:06.478 | INFO     | scheduler.direction_update:checking_update:122 - Превышение максимальной цена, обновление БД 2 - BJV : 9249.0 >= 9000
2023-12-01 00:24:12.275 | INFO     | scheduler.direction_update:checking_update:225 - Незначительное увеличение цены билета 2 - GZP : 3215.0 > 3200.0 and 0.46656298600311047 <= 10 and 04.12.2023 == 04.12.2023
2023-12-01 00:24:22.829 | INFO     | scheduler.direction_update:checking_update:122 - Превышение максимальной цена, обновление БД 6 - VCE : 14142.0 >= 10000
2023-12-01 00:24:24.354 | INFO     | scheduler.direction_update:checking_update:191 - Незначительное уменьшение цены билета 6 - ROM : 3.649705513179492 <= 10 and 04.12.2023 == 04.12.2023
2023-12-01 00:24:26.853 | ERROR    | avia_api.adapter:get_ticket:49 - Нет билетов на MOW - AUH : {'data': [], 'currency': 'rub', 'success': True}
2023-12-01 00:24:28.009 | ERROR    | avia_api.adapter:get_ticket:49 - Нет билетов на MOW - DXB : {'data': [], 'currency': 'rub', 'success': True}
2023-12-01 00:24:30.578 | ERROR    | avia_api.adapter:get_ticket:49 - Нет билетов на MOW - AAN : {'data': [], 'currency': 'rub', 'success': True}
2023-12-01 00:24:33.014 | ERROR    | avia_api.adapter:get_ticket:49 - Нет билетов на MOW - FJR : {'data': [], 'currency': 'rub', 'success': True}
2023-12-01 00:24:34.572 | INFO     | scheduler.direction_update:checking_update:191 - Незначительное уменьшение цены билета 8 - SEZ : 2.0537043692560455 <= 10 and 02.12.2023 == 02.12.2023
2023-12-01 00:24:39.921 | INFO     | scheduler.direction_update:checking_update:236 - Незначительное увеличение цены и новая дата билета 11 - MSQ Оповещение отправлено : 2325.0 > 2322.0 and -0.12919896640826875 <= 10 and 12.12.2023 != 13.12.2023
2023-12-01 00:24:44.892 | ERROR    | avia_api.adapter:get_ticket:49 - Нет билетов на DME - LED : {'data': [], 'currency': 'rub', 'success': True}
2023-12-01 00:24:48.931 | INFO     | scheduler.direction_update:checking_update:122 - Превышение максимальной цена, обновление БД 14 - KBV : 51584.0 >= 35000
2023-12-01 00:25:02.584 | INFO     | database.mysqldb:create_pool:30 - Pool was created successfully!
2023-12-01 00:25:02.603 | INFO     | scheduler.direction_update:update:31 - Старт проверки цен
2023-12-01 00:25:03.010 | INFO     | avia_bot.service:start_bot:48 - The bot is running!
2023-12-01 00:25:05.096 | INFO     | scheduler.direction_update:checking_update:158 - Критическое уменьшение цены билета 1 - LCA : 12258.0 < 22258.0 and 44.92766645700422 >= 20
2023-12-01 00:32:41.697 | INFO     | database.mysqldb:create_pool:30 - Pool was created successfully!
2023-12-01 00:32:41.728 | INFO     | scheduler.direction_update:update:31 - Старт проверки цен
2023-12-01 00:32:42.166 | INFO     | avia_bot.service:start_bot:46 - The bot is running!
2023-12-01 00:33:04.286 | INFO     | database.mysqldb:create_pool:30 - Pool was created successfully!
2023-12-01 00:33:04.301 | INFO     | scheduler.direction_update:update:31 - Старт проверки цен
2023-12-01 00:33:04.697 | INFO     | avia_bot.service:start_bot:46 - The bot is running!
2023-12-01 00:33:06.658 | INFO     | scheduler.direction_update:checking_update:158 - Критическое уменьшение цены билета 1 - LCA : 12258.0 < 32258.0 and 62.000124000248 >= 20
2023-12-01 00:33:30.119 | INFO     | database.mysqldb:create_pool:30 - Pool was created successfully!
2023-12-01 00:33:30.150 | INFO     | scheduler.direction_update:update:31 - Старт проверки цен
2023-12-01 00:33:30.696 | INFO     | avia_bot.service:start_bot:46 - The bot is running!
2023-12-01 00:33:32.525 | INFO     | scheduler.direction_update:checking_update:158 - Критическое уменьшение цены билета 1 - LCA : 12258.0 < 22258.0 and 44.92766645700422 >= 20
2023-12-01 00:34:24.494 | INFO     | database.mysqldb:create_pool:30 - Pool was created successfully!
2023-12-01 00:34:24.525 | INFO     | scheduler.direction_update:update:31 - Старт проверки цен
2023-12-01 00:34:24.816 | INFO     | avia_bot.service:start_bot:47 - The bot is running!
2023-12-01 00:34:27.764 | INFO     | scheduler.direction_update:checking_update:158 - Критическое уменьшение цены билета 1 - LCA : 12258.0 < 32258.0 and 62.000124000248 >= 20
2023-12-01 00:35:39.651 | INFO     | database.mysqldb:create_pool:30 - Pool was created successfully!
